Code,Name,Credits,Prerequisites,Description
INTD-3355,"RESEARCH METHODS IN LIBRARIES"
MUSI-3161,"HISTORY OF MUSIC"
MUSI-3162,"MUSIC HISTORY II"
MUSI-3167,"INTRODUCTION TO OPERA"
MUSI-3171,"FUNDAMENTALS OF MUSIC I"
MUSI-3172,"FUNDAMENTALS OF MUSIC II"
MUSI-3231,"PIANO I"
MUSI-3232,"PIANO II"
MUSI-4016,"HARMONY AND IMPROVISATION"
MUSI-4017,"GROUP VOICE"
MUSI-4995,"SPECIAL TOPICS"
FILO-3001,"INTRODUCTION TO PHILOSOPHY: MAJOR QUESTIONS"
FILO-3002,"INTRODUCTION TO PHILOSOPHY: HISTORICAL APPROACH"
FILO-3155,"INTRODUCTION TO ETHICS"
FILO-3156,"MODERN AND CONTEMPORARY ETHICS"
FILO-3157,"INTRODUCTION TO LOGIC"
FILO-3158,"ANCIENT PHILOSOPHY"
FILO-3159,"MEDIEVAL PHILOSOPHY"
FILO-3165,"MODERN PHILOSOPHY"
FILO-3166,"CONTEMPORARY PHILOSOPHY"
FILO-3167,"SYMBOLIC LOGIC I"
FILO-3168,"PHILOSOPHY OF SCIENCE"
FILO-3169,"EXISTENTIALISM"
FILO-3175,"PHILOSOPHY OF HISTORY"
FILO-3178,"BUSINESS ETHICS"
FILO-3185,"COMPUTER ETHICS"
FILO-4025,"MEDICAL ETHICS"
FILO-4026,"FEMINIST ETHICS"
FILO-4027,"BIOETHICS"
FILO-4041,"METAPHYSICS I"
FILO-4042,"METAPHYSICS II"
FILO-4045,"ETHICS IN ENGINEERING"
FILO-4046,"ENVIRONMENTAL ETHICS"
FILO-4051,"PRINCIPLES OF AESTHETICS"
FILO-4052,"CONTEMPORARY AESTHETICS"
FILO-4105,"PHILOSOPHICAL TRENDS IN LATIN AMERICA"
FILO-4115,"PHILOSOPHY OF RELIGION"
FILO-4125,"PHILOSOPHY OF LAW"
FILO-4145,"SYMBOLIC LOGIC II"
FILO-4146,"CONTEMPORARY EPISTEMOLOGY"
FILO-4147,"PHILOSOPHY OF PSYCHOLOGY"
FILO-4148,"PHILOSOPHY OF MARXISM"
FILO-4149,"SPECIAL TOPICS"
FILO-4155,"ADVANCED ETHICS"
FILO-4156,"EPISTEMOLOGY AND SCIENCE"
FILO-4157,"PHENOMENOLOGY"
FILO-4158,"ANALYTIC PHILOSOPHY"
FILO-4159,"PRAGMATISM"
FILO-4160,"PHILOSOPHY OF TECHNOLOGY"
FILO-4991,"UNDERGRADUATE RESEARCH IN PHILOSOPHY I"
FILO-4992,"UNDERGRADUATE RESEARCH IN PHILOSOPHY II"
FILO-4995,"SPECIAL TOPICS IN PHILOSOPHY I"
FILO-4996,"SPECIAL TOPICS IN PHILOSOPHY II"
LITE-5001,"LITERATURE AND PHILOSOPHY I"
RUSO-3011,"ELEMENTARY RUSSIAN"
TEAT-3051,"INTRODUCTION TO THEATER ART"
TEAT-3052,"INTRODUCTION TO THEATER ART"
TEAT-3081,"ACTING I"
TEAT-3082,"ACTING II"
TEAT-3091,"THEATER PRODUCTION I"
TEAT-3092,"THEATER PRODUCTION II"
TEAT-4011,"DIRECTING I"
TEAT-4012,"DIRECTING II"
TEAT-4271,"PLAYWRITING I: SHORT PLAYS"
TEAT-4272,"PLAYWRITING II: FULL-LENGTH PLAYS"
TEAT-4995,"SPECIAL TOPICS IN THEATER"
EDFI-3038,"RECREATIONAL SWIMMING"
EDFI-3040,"INTRODUCTION TO KINESIOLOGY"
EDFI-3058,"FUNDAMENTALS OF TRACK AND FIELD"
EDFI-3075,"DEVELOPMENT, TRAINING AND TECHNIQUE OF SPORTS"
EDFI-3076,"PERSONAL TRAINING"
EDFI-3077,"FUNDAMENTALS OF SOFTBALL AND BASEBALL"
EDFI-3078,"TEACHING OF ULTIMATE"
EDFI-3090,"PHYSICAL EDUCATION FOR THE PRESCHOOL LEVEL"
EDFI-3095,"COACHING AND OFFICIATING BASKETBALL"
EDFI-3098,"METHODS AND TECHNIQUES IN ADAPTED PHYSICAL EDUCATION"
EDFI-3106,"LOW ORGANIZATION AND SPORTS LEAD-UP GAMES"
EDFI-3205,"INTRODUCTION TO GYMNASTICS"
EDFI-3215,"FUNDAMENTALS OF BASKETBALL"
EDFI-3225,"FUNDAMENTALS OF VOLLEYBALL"
EDFI-3235,"SCOUTING"
EDFI-3245,"ELEMENTARY SWIMMING"
EDFI-3246,"AQUATIC SKILLS"
EDFI-3255,"ADVANCED SWIMMING"
EDFI-3265,"WEIGHT LIFTING AND WEIGHT TRAINING FOR DIFFERENT SPORTS"
EDFI-3285,"AQUATIC SKILLS AND WATER SAFETY"
EDFI-3295,"ELEMENTARY TENNIS"
EDFI-3296,"ADVANCED TENNIS"
EDFI-3305,"FOLK DANCES"
EDFI-3325,"CURRICULUM IN PHYSICAL EDUCATION"
EDFI-3380,"PHYSICAL ACTIVITIES AND THE ELDERLY"
EDFI-3395,"ADAPTED PHYSICAL EDUCATION: EXCEPTIONALITY AND DISABILITIES"
EDFI-3397,"TEACHING PHYSICAL EDUCATION IN ELEMENTARY AND SECONDARY SCHOOLS"
EDFI-3408,"ADAPTED AQUATICS ACTIVITIES"
EDFI-3465,"PERSONAL AND COMMUNITY HEALTH"
EDFI-3555,"HISTORY AND PRINCIPLES OF PHYSICAL EDUCATION"
EDFI-3596,"FUNDAMENTALS OF SOCCER"
EDFI-3615,"COACHING AND OFFICIATING SWIMMING"
EDFI-3620,"TRIATHLON TRAINING"
EDFI-3645,"FIRST AID AND SECURITY"
EDFI-3649,"SUMMER PRACTICUM IN ADAPTED PHYSICAL EDUCATION"
EDFI-3665,"RECREATIONAL SPORTS"
EDFI-3685,"FUNDAMENTALS OF HANDBALL AND RACQUETBALL"
EDFI-3696,"LABORATORY OF METHODS AND THECHNIQUES IN ADAPTED PHYSICAL EDUCATION"
SOCI-4000,"SOCIOLOGICAL FUNDAMENTALS OF RECREATION AND SPORTS"
EDFI-4005,"FUNDAMENTALS OF MOTOR LEARNING"
PSIC-4010,"PSYCHOLOGICAL ASPECTS OF SPORTS"
EDFI-4016,"INCLUSION IN PHYSICAL EDUCATION ACTIVITIES"
EDFI-4017,"ADAPTED SPORTS"
EDFI-4026,"MEASUREMENT AND EVALUATION IN ELEMENTARY AND SECONDARY PHYSICAL EDUCATION"
EDFI-4027,"STRENGTH TRAINING AND CONDITIONING"
EDFI-4029,"ADAPTED PHYSICAL EDUCATION AND ASSISTIVE TECHNOLOGY"
EDFI-4045,"EVALUATION AND RESEARCH IN PHYSICAL EDUCATION"
EDFI-4055,"COACHING AND OFFICIATING VOLLEYBALL"
EDFI-4065,"COACHING AND OFFICIATING SOCCER"
EDFI-4075,"COACHING AND OFFICIATING SOFTBALL AND BASEBALL"
EDFI-4106,"BIOMECHANICS OF HUMAN MOVEMENT"
EDFI-4125,"ORGANIZATION, ADMINISTRATION AND SUPERVISION OF PHYSICAL EDUCATION"
EDFI-4167,"GYMNASTICS, DANCE AND FITNESS IN ELEMENTARY PHYSICAL EDUCATION"
EDFI-4176,"MECHANICS OF MOVEMENT FOR CHILDREN"
EDFI-4177,"EXERCISE PHYSIOLOGY (WITH LABORATORY)"
EDFI-4179,"INTRODUCTION TO MOTOR DEVELOPMENT WITH LABORATORY"
EDFI-4186,"SPECIAL TOPICS IN PHYSICAL EDUCATION"
EDFI-4190,"EXERCISE PRESCRIPTION"
EDFI-4195,"TEACHING AND TRAINING IN TENNIS"
EDFI-4205,"TEACHING METHODS AND TECHNIQUES IN PHYSICAL EDUCATION"
EDFI-4225,"LIFEGUARDING"
EDFI-4230,"ATHLETIC TRAINING"
EDFI-4250,"SEMINAR IN COACHING AND OFFICIATING"
EDFI-4998,"UNDERGRADUATE RESEARCH"
EDFI-5005,"BIOMECHANICS OF SPORTS"
RECR-3705,"COMMUNITY RECREATION"
RECR-4135,"ORGANIZATION OF RECREATION"
RECR-4255,"SEMINAR IN RECREATION"
CIMA-5005,"INTRODUCTION TO OCEANOGRAPHY"
CIMA-5007,"INTRODUCTION TO OCEAN OBSERVATION"
CIMA-5008,"LABORATORY OF INTRODUCTION TO OCEANOGRAPHY"
CMOB-5015,"FISHERIES BIOLOGY"
CMOB-5017,"MARINE ECOLOGY AND RESOURCE MANAGEMENT"
CMOF-5005,"COASTAL STRUCTURES"
CMOF-5015,"PHYSICAL OCEANOGRAPHY FOR ATMOSPHERIC SCIENCES"
MATE-3000,"FINITE MATHEMATICS"
MATE-3005,"PRE-CALCULUS"
MATE-3020,"INTRODUCTION TO THE FOUNDATIONS OF MATHEMATICS"
MATE-3021,"CALCULUS FOR BIOLOGICAL SCIENCES I"
MATE-3022,"CALCULUS FOR BIOLOGICAL SCIENCES II"
MATE-3030,"INTRODUCTION TO GEOMETRY"
MATE-3031,"CALCULUS I"
MATE-3032,"CALCULUS II"
MATE-3040,"THEORY OF NUMBERS"
MATE-3047,"INTRODUCTORY PROBABILITY"
MATE-3048,"MATHEMATICAL ANALYSIS"
MATE-3049,"MATHEMATICAL ANALYSIS FOR MANAGEMENT SCIENCES"
MATE-3063,"CALCULUS III"
MATE-3086,"MATHEMATICAL REASONING"
MATE-3143,"CALCULUS WITH PRECALCULUS I"
MATE-3144,"CALCULUS WITH PRECALCULUS II"
MATE-3171,"PRECALCULUS I"
MATE-3172,"PRECALCULUS II"
MATE-3181,"DISCRETE MATHEMATICS I"
MATE-3182,"DISCRETE MATHEMATICS II"
MATE-4000,"ELEMENTS OF TOPOLOGY"
MATE-4003,"MATHEMATICS PRACTICE FOR COOP STUDENTS I"
MATE-4004,"MATHEMATICS PRACTICE FOR COOP STUDENTS II"
MATE-4007,"HIGHER GEOMETRY"
MATE-4008,"INTRODUCTION TO ALGEBRAIC STRUCTURES"
MATE-4009,"ORDINARY DIFFERENTIAL EQUATIONS"
MATE-4010,"INTRODUCTION TO COMPLEX VARIABLES WITH APPLICATIONS"
MATE-4020,"PARTIAL DIFFERENTIAL EQUATIONS AND FOURIER SERIES"
MATE-4021,"FUNDAMENTALS OF MATHEMATICAL LOGIC"
MATE-4023,"MATHEMATICS EDUCATION I"
MATE-4031,"INTRODUCTION TO LINEAR ALGEBRA"
MATE-4039,"THE USE OF TECHNOLOGY IN THE TEACHING OF MATHEMATICS"
MATE-4040,"INTRODUCTION TO MATHEMATICAL BIOLOGY"
MATE-4050,"UNDERGRADUATE SEMINAR"
MATE-4051,"ADVANCED CALCULUS I"
MATE-4052,"ADVANCED CALCULUS II"
MATE-4061,"NUMERICAL ANALYSIS I"
MATE-4062,"NUMERICAL ANALYSIS II"
MATE-4070,"CHAOS AND COMPLEXITY"
MATE-4071,"INTRODUCTION TO MATHEMATICS OF MODERN SCIENCE I"
MATE-4072,"INTRODUCTION TO MATHEMATICS OF MODERN SCIENCE II"
MATE-4088,"DIFFERENTIAL GEOMETRY USING COMPUTERS"
MATE-4120,"HISTORY OF MATHEMATICS"
MATE-4145,"LINEAR ALGEBRA AND DIFFERENTIAL EQUATIONS"
MATE-4990,"UNDERGRADUATE RESEARCH"
MATE-4997,"SPECIAL TOPICS IN MATHEMATICS"
MATE-5016,"GAME THEORY"
MATE-5047,"INTERMEDIATE DIFFERENTIAL EQUATIONS"
MATE-5049,"CALCULUS OF VARIATIONS"
MATE-5055,"VECTOR ANALYSIS"
MATE-5056,"TENSOR ANALYSIS"
MATE-5150,"LINEAR ALGEBRA"
COMP-3010,"INTRODUCTION TO COMPUTER PROGRAMMING I"
COMP-3015,"LINUX AND FREE/OPEN SOURCE SOFTWARE FOR STEM"
COMP-3057,"COMPUTER FUNDAMENTALS"
COMP-3075,"INTRODUCTION TO DATA STRUCTURES"
COMP-3110,"INTRODUCTION TO COMPUTER PROGRAMMING II"
COMP-4006,"OPERATING SYSTEMS"
COMP-4009,"SOFTWARE ENGINEERING"
COMP-4016,"COMPUTER ORGANIZATION"
COMP-4017,"COMPUTER ALGORITHMS"
COMP-4018,"DATABASE SYSTEMS"
COMP-4025,"COMPUTING MODELS"
COMP-4036,"PROGRAMMING LANGUAGES"
COMP-4046,"COMPUTER GRAPHICS"
COMP-4075,"PROGRAMMING METHODOLOGY"
COMP-4086,"COMPUTER ARCHITECTURE"
COMP-4308,"NETWORKING AND ROUTING FUNDAMENTALS"
COMP-4995,"COMPUTER SCIENCE PRACTICUM"
COMP-4998,"TOPICS IN COMPUTER SCIENCE I"
COMP-4999,"TOPICS IN COMPUTER SCIENCE II"
COMP-5015,"ARTIFICIAL INTELLIGENCE"
COMP-5045,"AUTOMATA AND FORMAL LANGUAGES"
COMP-5055,"PARALLEL COMPUTATION"
COMP-5318,"INTERMEDIATE ROUTING, SWITCHING AND WIDE AREA NETWORKS"
ESMA-3015,"ELEMENTARY STATISTICS"
ESMA-3016,"STATISTICAL DATA ANALYSIS"
ESMA-3101,"APPLIED STATISTICS I"
ESMA-3102,"APPLIED STATISTICS II"
ESMA-4001,"MATHEMATICAL STATISTICS I"
ESMA-4002,"MATHEMATICAL STATISTIC II"
ESMA-4005,"NON-PARAMETRIC APPLIED STATISTICS"
ESMA-4006,"STATISTICS FOR THE BIOLOGICAL SCIENCES"
ESMA-4016,"DATA MINING AND MACHINE LEARNING"
ESMA-4038,"SAMPLING METHODS"
ESMA-5015,"STOCHASTIC SIMULATION"
ENFE-3005,"INTRODUCTION TO NURSING"
ENFE-3007,"DECISION-MAKING IN NURSING"
ENFE-3015,"INTERPERSONAL RELATIONSHIPS IN NURSING"
ENFE-3021,"INTRODUCTION TO CLINICAL NURSING I"
ENFE-3022,"INTRODUCTION TO CLINICAL NURSING II"
ENFE-3025,"FUNDAMENTALS OF GERONTOLOGY"
ENFE-3035,"FUNDAMENTALS OF NUTRITION"
ENFE-3045,"PSYCHIATRIC NURSING"
ENFE-3095,"POSOLOGY AND PHARMACOLOGY FOR NURSING"
ENFE-3116,"FORENSIC NURSING IN SEXUAL ASSAULT"
ENFE-3126,"BASIC PRINCIPLES OF PHARMACOLOGY"
ENFE-3127,"HEALTH ASSESSMENT"
ENFE-3305,"NURSING IN HEALTH PROMOTION"
ENFE-3315,"FUNDAMENTALS OF THANATOLOGY"
ENFE-3316,"PALLIATIVE AND END OF LIFE CARE"
ENFE-4001,"MATERNAL AND NEONATAL NURSING"
ENFE-4002,"PEDIATRIC NURSING"
ENFE-4015,"MANAGEMENT OF NURSING SERVICES"
ENFE-4025,"COMMUNITY HEALTH NURSING"
ENFE-4026,"LEGAL ASPECTS OF NURSING"
ENFE-4031,"MEDICAL-SURGICAL NURSING I"
ENFE-4032,"MEDICAL-SURGICAL NURSING II"
ENFE-4041,"SEMINAR IN NURSING I"
ENFE-4042,"SEMINAR IN NURSING II"
ENFE-4991,"UNDERGRADUATE RESEARCH I"
ENFE-4992,"UNDERGRADUATE RESEARCH II"
ENFE-4995,"COOP PRACTICE"
ENFE-4996,"SPECIAL TOPICS IN NURSING"
ENFE-5005,"HEALTH ASSESSMENT"
ENFE-5115,"WOMEN AND HEALTH: INTEGRAL PERSPECTIVE IN SEXUAL AND REPRODUCTIVE HEALTH"
ENFE-5397,"APPLIED PATHOPHYSIOLOGY"
ENFE-5665,"THEORIES OF NURSING"
ENFE-5667,"EKG INTERPRETATION: NURSING CARE"
FISI-3000,"ORIENTATION FOR PHYSICS MAJORS"
FISI-3028,"ELECTROMAGNETISM FOR TEACHERS"
FISI-3029,"MODERN PHYSICS FOR TEACHERS"
FISI-3066,"INTRODUCTORY TOPICS IN PHYSICS"
FISI-3091,"ELEMENTS OF PHYSICS"
FISI-3092,"ELEMENTS OF PHYSICS LABORATORY"
FISI-3151,"MODERN COLLEGE PHYSICS I"
FISI-3152,"MODERN COLLEGE PHYSICS II"
FISI-3153,"MODERN COLLEGE PHYSICS LABORATORY"
FISI-3154,"MODERN COLLEGE PHYSICS LABORATORY"
FISI-3161,"GENERAL PHYSICS I"
FISI-3162,"GENERAL PHYSICS II"
FISI-3163,"LABORATORY OF GENERAL PHYSICS I"
FISI-3164,"LABORATORY OF GENERAL PHYSICS II"
FISI-3172,"PHYSICS II"
FISI-3173,"PHYSICS LABORATORY I"
FISI-3174,"PHYSICS LABORATORY II"
FISI-4001,"SEMINAR I"
FISI-4002,"SEMINAR II"
FISI-4007,"PHOTOGRAPHY"
FISI-4017,"OPTICS"
FISI-4020,"PHYSICS OF WAVES"
FISI-4049,"ELECTRONICS"
FISI-4051,"INTERMEDIATE MECHANICS"
FISI-4052,"DYNAMICS"
FISI-4057,"THERMAL PHYSICS"
FISI-4063,"QUANTUM MECHANICS I"
FISI-4064,"QUANTUM MECHANICS II"
FISI-4071,"ELECTRICITY AND MAGNETISM"
FISI-4076,"INTERMEDIATE LABORATORY I"
FISI-4077,"INTERMEDIATE LABORATORY II"
FISI-4078,"INTRODUCTION TO CLASSICAL ELECTRODYNAMICS"
FISI-4105,"MODERN PHYSICS"
FISI-4106,"CONCEPTS AND LAWS IN MECHANICS"
FISI-4107,"CONCEPTS AND LAWS OF HEAT AND WAVES"
FISI-4117,"INTRODUCTION TO RELATIVITY"
FISI-4118,"ELEMENTS OF MODERN PHYSICS"
FISI-4125,"COMPUTATIONAL PHYSICS"
FISI-4126,"CONCEPTS AND LAWS OF ELECTRICITY AND MAGNETISM"
FISI-4127,"TEACHING METHODOLOGIES OF PHYSICS"
FISI-4135,"APPLIED OPTICS"
FISI-4797,"COSMIC EVOLUTION"
FISI-4871,"INTRODUCTION TO ELEMENTARY PARTICLE PHYSICS"
FISI-4996,"COOP PRACTICE"
FISI-4997,"SPECIAL PROBLEMS PHYSICS"
FISI-4999,"UNDERGRADUATE RESEARCH"
FISI-5025,"INTRODUCTION TO SOLID STATE PHYSICS"
FISI-5037,"INTRODUCTION TO SOLID STATE PHYSICS"
FISI-5045,"PHYSICS OF FLUIDS"
FISI-5047,"LASER PHYSICS"
ASTR-3005,"DESCRIPTIVE ASTRONOMY"
ASTR-4005,"ASTRONOMY I"
ASTR-4006,"ASTRONOMY II"
ASTR-4015,"RADIO ASTRONOMY"
ASTR-4017,"STELLAR EVOLUTION"
ASTR-4025,"RADIO PULSARS"
ASTR-4999,"UNDERGRADUATE RESEARCH"
ASTR-5005,"FORMATION AND EVOLUTION OF GALAXIES"
ASTR-5007,"PLANETARY ASTRONOMY"
METE-3006,"EXTREME METEOROLOGICAL PHENOMENA"
METE-4006,"INTRODUCTORY METEOROLOGY"
METE-4007,"METEOROLOGICAL MEASUREMENTS"
METE-4008,"PHYSICAL METEOROLOGY"
METE-4057,"ATMOSPHERIC THERMODYNAMICS"
METE-4061,"DYNAMIC METEOROLOGY I"
METE-4075,"SYNOPTIC METEOROLOGY"
METE-5065,"ADVANCED DYNAMIC METEOROLOGY"
CIFI-3011,"PHYSICAL SCIENCE"
CIFI-3012,"PHYSICAL SCIENCE"
PSIC-3001,"PRINCIPLES OF PSYCHOLOGY I"
PSIC-3002,"PRINCIPLES OF PSYCHOLOGY II"
PSIC-3006,"SOCIAL PSYCHOLOGY"
PSIC-3015,"THEORIES OF PERSONALITY"
PSIC-3016,"ABNORMAL PSYCHOLOGY"
PSIC-3017,"INTRODUCTION TO PSYCHOLOGICAL ASSESSMENT"
PSIC-3018,"PHYSIOLOGICAL PSYCHOLOGY"
PSIC-3025,"HUMAN DEVELOPMENT"
PSIC-3027,"CHILDHOOD PSYCHOLOGY"
PSIC-3028,"PSYCHOLOGY OF ADULTHOOD"
PSIC-3035,"APPLIED PSYCHOLOGY"
PSIC-3036,"EDUCATIONAL PSYCHOLOGY"
PSIC-3039,"PSYCHOLOGY OF ADOLESCENCE"
PSIC-3040,"PERSONAL DEVELOPMENT"
PSIC-3046,"HISTORY AND SYSTEMS OF PSYCHOLOGY"
PSIC-3047,"COUNSELING PSYCHOLOGY"
PSIC-3060,"ENVIRONMENTAL PSYCHOLOGY"
PSIC-3070,"INTRODUCTION TO COGNITIVE PSYCHOLOGY"
PSIC-3080,"PSYCHOLOGY AS A PROFESSION"
PSIC-3117,"FOLK HEALING SYSTEMS"
PSIC-3185,"PSYCHOSOCIAL ASPECTS OF THE HIV/AIDS EPIDEMIC"
PSIC-4005,"INTRODUCTION TO SCHOOL PSYCHOLOGY"
PSIC-4006,"EXPERIMENTAL METHODS IN PSYCHOLOGY"
PSIC-4009,"INDUSTRIAL/ ORGANIZATIONAL PSYCHOLOGY"
EDFI-4010,"PSYCHOLOGICAL ASPECTS OF SPORTS"
PSIC-4050,"QUANTITATIVE RESEARCH IN PSYCHOLOGY"
PSIC-4065,"SEMINAR ON PSYCHOLOGICAL RESEARCH"
PSIC-4076,"PSYCHOLOGY OF THE INTERNET"
PSIC-4078,"QUALITATIVE RESEARCH IN PSYCHOLOGY"
PSIC-4086,"PRACTICUM IN PSYCHOLOGY"
PSIC-4088,"SPECIAL TOPICS IN PSYCHOLOGY"
PSIC-4096,"ABNORMAL PSYCHOLOGY IN CHILDREN AND ADOLESCENTS"
PSIC-4116,"PSYCHOLOGY OF HUMAN SEXUALITY"
CIPO-4991,"INDEPENDENT STUDY I"
CIPO-4992,"INDEPENDENT STUDY II"
PSIC-5016,"ANALYTICAL PSYCHOLOGY"
PSIC-5017,"PSYCHOLOGY OF HUMAN DIVERSITY"
ANTR-3005,"INTRODUCTION TO CULTURAL ANTHROPOLOGY"
ANTR-3015,"INTRODUCTION TO PHYSICAL ANTHROPOLOGY"
CISO-4066,"POLITICAL AND CULTURAL ASPECTS OF INDIGENOUS PEOPLES OF LATIN AMERICA"
ANTR-4007,"CULTURE AND ENERGY"
GEOG-3155,"HUMAN GEOGRAPHY"
GEOG-3185,"PHYSICAL GEOGRAPHY"
GEOG-4106,"GEOGRAPHIC INFORMATION SYSTEMS (GIS) FOR THE SOCIAL SCIENCES"
HIST-3091,"HISTORY OF FRANCE"
HIST-3092,"HISTORY OF FRANCE"
HIST-3111,"HISTORY OF THE UNITED STATES OF AMERICA"
HIST-3112,"HISTORY OF THE UNITED STATES OF AMERICA"
HIST-3121,"HISTORY OF THE FOREIGN POLICY OF THE UNITED STATES OF AMERICA"
HIST-3122,"HISTORY OF THE FOREIGN POLICY OF THE UNITED STATES OF AMERICA"
HIST-3141,"HISTORY OF SPAIN I"
HIST-3142,"HISTORY OF SPAIN II"
HIST-3155,"HISTORY OF NINETEENTH CENTURY EUROPE"
HIST-3158,"HISTORY OF TWENTIETH CENTURY EUROPE"
HIST-3165,"HISTORY OF THE RENAISSANCE"
HIST-3185,"THE MEDIEVAL WORLD"
HIST-3195,"HISTORY OF THE ANCIENT WORLD"
HIST-3201,"HISTORY OF THE MODERN WORLD I"
HIST-3202,"MODERN WORLD HISTORY II"
HIST-3211,"HISTORY OF LATIN AMERICA"
HIST-3212,"HISTORY OF LATIN AMERICA"
HIST-3221,"HISTORY OF THE ANTILLES"
HIST-3222,"HISTORY OF THE ANTILLES"
HIST-3241,"HISTORY OF PUERTO RICO"
HIST-3242,"HISTORY OF PUERTO RICO"
HIST-4005,"HISTORY OF MEXICO"
HIST-4055,"THEMES IN EUROPEAN HISTORY"
HIST-4066,"THEMES IN THE HISTORY OF THE AMERICAS"
HIST-4075,"SPECIAL PROBLEMS"
HIST-4111,"SOCIAL HISTORY OF THE UNITED STATES OF AMERICA"
HIST-4112,"SOCIAL HISTORY OF THE UNITED STATES OF AMERICA"
HIST-4165,"HISTORY OF BRAZIL"
HIST-4171,"HISTORY OF RUSSIA"
HIST-4172,"HISTORY OF RUSSIA NINETEENTH CENTURY"
HIST-4220,"HISTORY OF GERMANY SINCE 1871"
HIST-4221,"HISTORIOGRAPHY AND APPROACHES TO HISTORY"
HIST-4222,"HISTORIOGRAPHY AND APPROACHES TO HISTORY"
HIST-4226,"HISTORICAL RESEARCH"
HIST-4228,"THEMES IN HISTORY"
HIST-4235,"REVOLUTIONS IN TWENTIETH CENTURY LATIN AMERICA"
HIST-4345,"TWENTIETH CENTURY PUERTO RICAN HISTORY"
CIPO-3011,"PRINCIPLES AND PROBLEMS OF POLITICAL SCIENCE"
CIPO-3025,"POLITICAL SYSTEM OF THE UNITED STATES"
CISO-3026,"INTRODUCTION TO PUBLIC POLICY ANALYSIS"
CISO-3027,"CITIZEN PARTICIPATION IN PUBLIC DECISION-MAKING"
CISO-3985,"LEGISLATIVE INTERNSHIP IN PUERTO RICO"
CIPO-3035,"GOVERNMENT OF PUERTO RICO"
CIPO-3045,"INTERNATIONAL ORGANIZATION AND ADMINISTRATION"
CIPO-3065,"INTERNATIONAL RELATIONS"
CIPO-3095,"MUNICIPAL GOVERNMENT"
CIPO-3175,"INTRODUCTION TO LAW"
CIPO-4005,"CONSTITUTIONAL LAW"
CIPO-4015,"COMPARATIVE GOVERNMENT AND POLITICS"
CIPO-4016,"GOVERNMENT AND POLITICS OF THE MIDDLE EAST"
CIPO-4017,"THE EUROPEAN UNION IN INTERNATIONAL LAW AND DIPLOMACY"
CIPO-4025,"PUBLIC OPINION"
CIPO-4035,"POLITICAL PARTIES"
CIPO-4045,"ELEMENTS OF PUBLIC ADMINISTRATION"
CIPO-4046,"SPECIAL TOPICS IN POLITICAL SCIENCE"
CIPO-4051,"POLITICAL THEORY"
CIPO-4052,"POLITICAL THEORY"
CIPO-4056,"INTRODUCTION TO CRIMINAL LAW"
CIPO-4065,"INTERNATIONAL LAW"
CIPO-4085,"AMERICAN FOREIGN POLITICY"
CIPO-4095,"GOVERNMENT AND POLITICS OF THE CARIBBEAN"
CIPO-4105,"LATIN AMERICAN GOVERNMENT AND POLITICS"
CIPO-4115,"LATIN AMERICAN INTERNATIONAL RELATIONS"
CIPO-4127,"GLOBALIZATION AND WORLD POLITICS"
CIPO-4145,"RESEARCH METHODS IN POLITICAL SCIENCE"
CIPO-4155,"RESEARCH SEMINAR IN POLITICAL SCIENCE"
CIPO-4236,"REVOLUTIONS IN TWENTIETH CENTURY LATIN AMERICA"
CIPO-4735,"UNITED NATIONS MODEL"
CISO-4991,"INDEPENDENT STUDY I"
CISO-4992,"INDEPENDENT STUDY II"
CISO-3017,"INTRODUCTION TO MASCULINITY STUDIES"
CIPO-3026,"INTRODUCTION TO PUBLIC POLICY ANALYSIS"
CIPO-3027,"CITIZEN PARTICIPATION IN PUBLIC DECISION-MAKING"
CISO-3031,"COMMUNITY ORGANIZATION AND TRANSFORMATION I"
CISO-3032,"COMMUNITY ORGANIZATION AND TRANSFORMATION II"
CISO-3041,"GENDER VIOLENCE I: THEORETICAL PERSPECTIVES, PUBLIC POLICIES AND SERVICES"
CISO-3042,"GENDER VIOLENCE II: METHODOLOGICAL PERSPECTIVES, EXPERIENCES AND LEARNING"
CIPO-3985,"LEGISLATIVE INTERNSHIP IN PUERTO RICO"
CISO-3121,"AN INTRODUCTION TO THE STUDY OF THE SOCIAL SCIENCES"
CISO-3122,"AN INTRODUCTION TO THE STUDY OF THE SOCIAL SCIENCES"
CISO-3126,"CULTURAL DIVERSITY"
CISO-3127,"SEXUAL DIVERSITY AND THE PUERTO RICAN SOCIETY"
CISO-3145,"BIBLIOGRAPHY AND LIBRARY RESEARCH IN THE SOCIAL SCIENCES"
SOCI-3265,"QUANTITATIVE RESEARCH METHODS IN THE SOCIAL SCIENCES"
SOCI-3285,"DYNAMICS AND PROCESSES OF GROUPS"
CISO-4008,"THEORETICAL FOUNDATIONS IN THE SOCIAL SCIENCES"
CISO-4056,"PSYCHO-SOCIAL ASPECTS OF GENDER"
ANTR-4066,"POLITICAL AND CULTURAL ASPECTS OF INDIGENOUS"
CISO-4096,"PRINCIPLES OF SOCIAL WORK"
CISO-4116,"HUMAN NEEDS AND WELFARE"
CISO-4117,"FIELD WORK TECHNIQUES"
CISO-4118,"INTERVENTION STRATEGIES WITH FAMILIES"
CISO-4119,"INTRODUCTION TO MEDIATION AND NON-VIOLENT MANAGEMENT OF CONFLICTS"
